 method;n_elements;time
 matmul();         100 ;   0.0000000000000000     
 nested loops;         100 ;   0.0000000000000000     
 numpy;         100 ;   7.9980045557022090E-004
 matmul();        2500 ;   9.9999457597732549E-005
 nested loops;        2500 ;   0.0000000000000000     
 numpy;        2500 ;   1.1997997760772705E-003
 matmul();       10000 ;   2.3995995521545409E-003
 nested loops;       10000 ;   1.5997599065303802E-002
 numpy;       10000 ;   1.6996979713439942E-003
 matmul();       62500 ;   4.2893502116203311E-002
 nested loops;       62500 ;  0.16817440390586852     
 numpy;       62500 ;   2.8995037078857421E-003
 matmul();      250000 ;  0.19297070503234864     
 nested loops;      250000 ;   3.9987564086914064E-004
 numpy;      250000 ;   2.1496725082397462E-002
 matmul();      562500 ;  0.19816989898681642     
 nested loops;      562500 ;   0.0000000000000000     
 numpy;      562500 ;   3.7394285202026367E-002
 matmul();     1000000 ;  0.16337518692016600     
 nested loops;     1000000 ;   0.0000000000000000     
 numpy;     1000000 ;   8.7486743927001953E-002
 matmul();     1000000 ;  0.17527322769165038     
 numpy;     1000000 ;   8.9086532592773438E-002
 matmul() - no allocate;     1000000 ;  0.15957574844360350     
 matmul();     4000000 ;   3.6994934082031248E-003
 numpy;     4000000 ;  0.74378690719604490     
 matmul();     9000000 ;   2.9695510864257812E-002
 numpy;     9000000 ;   1.6910427093505860     
 matmul();    16000000 ;   5.4091644287109372E-002
 numpy;    16000000 ;   2.5393138885498048     
 matmul();    25000000 ;   8.1687927246093750E-002
 numpy;    25000000 ;   2.6607955932617187     
