 method;n_elements;time
 matmul();         100 ;  3.194808959960938E-006
 nested loops;         100 ;  1.597404479980469E-006
 numpy;         100 ;  1.546859741210937E-004
 matmul();        2500 ;  5.750656127929687E-005
 nested loops;        2500 ;  4.339218139648438E-005
 numpy;        2500 ;  8.280277252197266E-005
 matmul();       10000 ;  2.453088760375977E-004
 nested loops;       10000 ;  2.317190170288086E-004
 numpy;       10000 ;  3.654956817626953E-004
 matmul();       62500 ;  3.234696388244629E-003
 nested loops;       62500 ;  2.717900276184082E-003
 numpy;       62500 ;  1.450395584106445E-003
 matmul();      250000 ;  1.627509593963623E-002
 nested loops;      250000 ;  1.566188335418701E-002
 numpy;      250000 ;  8.751606941223145E-003
 matmul();      562500 ;  5.344491004943848E-002
 nested loops;      562500 ;  5.262959003448486E-002
 numpy;      562500 ;  2.208168506622315E-002
 matmul();     1000000 ;  9.849040508270264E-002
 nested loops;     1000000 ;  9.909880161285400E-002
 numpy;     1000000 ;  5.184578895568848E-002
 matmul();     1000000 ;  9.911179542541504E-002
 numpy;     1000000 ;  5.161299705505371E-002
 matmul-noalloc;     1000000 ;  8.711268901824951E-002
 matmul();     4000000 ;  0.807506918907166     
 numpy;     4000000 ;  0.419370198249817     
 matmul();     9000000 ;   2.74193661212921     
 numpy;     9000000 ;   1.38811688423157     
 matmul();    16000000 ;   6.42149670124054     
 numpy;    16000000 ;   3.10327548980713     
 matmul();    25000000 ;   12.6372889041901     
 numpy;    25000000 ;   6.05949921607971     
