 method;n_elements;time
 matmul();         100 ;   2.0027160644531251E-006
 nested loops;         100 ;   1.6212463378906250E-006
 numpy;         100 ;   1.8415927886962890E-003
 matmul();        2500 ;   5.1403045654296874E-005
 nested loops;        2500 ;   1.0230541229248047E-004
 numpy;        2500 ;   1.7563819885253907E-003
 matmul();       10000 ;   2.2301673889160156E-004
 nested loops;       10000 ;   1.0303974151611329E-003
 numpy;       10000 ;   1.0596036911010743E-003
 matmul();       62500 ;   3.0061006546020508E-003
 nested loops;       62500 ;   1.7088794708251955E-002
 numpy;       62500 ;   8.3370208740234379E-004
 matmul();      250000 ;   1.8535995483398439E-002
 nested loops;      250000 ;  0.11571040153503417     
 numpy;      250000 ;   2.5895833969116211E-003
 matmul();      562500 ;   6.0468983650207517E-002
 nested loops;      562500 ;  0.40253081321716311     
 numpy;      562500 ;   4.3728113174438480E-003
 matmul();     1000000 ;  0.13529279232025146     
 nested loops;     1000000 ;  0.96260740756988528     
 numpy;     1000000 ;   8.5066080093383796E-003
 matmul();     1000000 ;  0.13124639987945558     
 numpy;     1000000 ;   8.2102060317993161E-003
 matmul-noalloc;     1000000 ;  0.12737078666687013     
 matmul();     2250000 ;  0.43078060150146485     
 nested loops;     2250000 ;   4.4027590990066532     
 numpy;     2250000 ;   2.2770905494689943E-002
 matmul();     4000000 ;   1.0296757936477661     
 nested loops;     4000000 ;   21.747620916366579     
 numpy;     4000000 ;   5.2124023437500000E-002
 matmul();     6250000 ;   2.0032433032989503     
 numpy;     6250000 ;   7.4804806709289545E-002
 matmul();     9000000 ;   3.4759320020675659     
 numpy;     9000000 ;  0.13051149845123292     
 matmul();    12250000 ;   5.4972817897796631     
 numpy;    12250000 ;  0.20488657951354980     
 matmul();    16000000 ;   8.2204472064971927     
 numpy;    16000000 ;  0.28820190429687498     
 matmul();    20250000 ;   11.681883406639098     
 numpy;    20250000 ;  0.41575360298156738     
 matmul();    25000000 ;   15.978482580184936     
 numpy;    25000000 ;  0.54406268596649165     
 matmul();    30250000 ;   21.332009506225585     
 numpy;    30250000 ;  0.68021740913391116     
 matmul();    36000000 ;   27.583412194252013     
 numpy;    36000000 ;  0.86954851150512691     
 matmul();    42250000 ;   35.116011404991148     
 numpy;    42250000 ;   1.0716928005218507     
 matmul();    49000000 ;   43.746461582183841     
 numpy;    49000000 ;   1.2665817975997924     
 matmul();    56250000 ;   52.642907905578610     
 numpy;    56250000 ;   1.5036403894424439     
