 method;n_elements;time
 matmul();         100 ;  9.059906005859375E-007
 nested loops;         100 ;  7.867813110351562E-007
 numpy;         100 ;  6.469011306762696E-004
 matmul();        2500 ;  3.869533538818360E-005
 nested loops;        2500 ;  3.221035003662109E-005
 numpy;        2500 ;  5.970001220703125E-005
 matmul();       10000 ;  1.827001571655273E-004
 nested loops;       10000 ;  1.832962036132812E-004
 numpy;       10000 ;  3.036975860595703E-004
 matmul();       62500 ;  3.128695487976074E-003
 nested loops;       62500 ;  2.554416656494141E-003
 numpy;       62500 ;  1.385807991027832E-003
