 method;n_elements;time
 matmul();         100 ;   0.0000000000000000     
 nested loops;         100 ;   0.0000000000000000     
 numpy;         100 ;   1.3998000000000010E-003
 matmul();        2500 ;   0.0000000000000000     
 nested loops;        2500 ;   0.0000000000000000     
 numpy;        2500 ;   1.2498100000000002E-002
 matmul();       10000 ;   7.9988000000000004E-003
 nested loops;       10000 ;   3.6994399999999997E-002
 numpy;       10000 ;   7.7988000000000059E-003
 matmul();       62500 ;  0.10868340000000001     
 nested loops;       62500 ;  0.55951490000000004     
 numpy;       62500 ;   2.0496900000000019E-002
 matmul();      250000 ;  0.64360209999999984     
 nested loops;      250000 ;  0.11598240000000004     
 numpy;      250000 ;   7.5688500000000047E-002
 matmul();      562500 ;  0.65220079999999991     
 nested loops;      562500 ;  0.40473850000000022     
 numpy;      562500 ;  0.15287669999999984     
 matmul();     1000000 ;  0.66939820000000017     
 nested loops;     1000000 ;  0.95935419999999993     
 numpy;     1000000 ;  0.30095419999999962     
 matmul();     1000000 ;  0.68649559999999998     
 numpy;     1000000 ;  0.29845460000000018     
 matmul-noalloc;     1000000 ;  0.64280230000000105     
 matmul();     2250000 ;  0.43283420000000061     
 nested loops;     2250000 ;   4.2054607000000006     
 numpy;     2250000 ;  0.82677430000000096     
 matmul();     4000000 ;   1.1656228000000000     
 nested loops;     4000000 ;   21.974159400000001     
 numpy;     4000000 ;   1.9043105000000025     
 matmul();     6250000 ;   1.9913972000000002     
 numpy;     6250000 ;   3.0643342000000020     
 matmul();     9000000 ;   3.4554747000000021     
 numpy;     9000000 ;   5.5600548000000058     
 matmul();    12250000 ;   5.4773672999999921     
 numpy;    12250000 ;   7.3200872000000006     
 matmul();    16000000 ;   8.1717577000000006     
 numpy;    16000000 ;   10.268938900000000     
 matmul();    20250000 ;   11.620133399999997     
 numpy;    20250000 ;   15.704212700000005     
 matmul();    25000000 ;   15.865188199999988     
 numpy;    25000000 ;   19.519132700000000     
 matmul();    30250000 ;   21.204276400000005     
 numpy;    30250000 ;   23.012201700000013     
 matmul();    36000000 ;   27.391136000000028     
 numpy;    36000000 ;   26.768930499999989     
 matmul();    42250000 ;   34.939988399999990     
 numpy;    42250000 ;   30.772821699999987     
 matmul();    49000000 ;   43.472891100000012     
 numpy;    49000000 ;   33.888148099999988     
 matmul();    56250000 ;   52.641497299999990     
 numpy;    56250000 ;   39.285927700000045     
