 method;n_elements;time
 matmul();         100 ;   0.0000000000000000     
 nested loops;         100 ;   0.0000000000000000     
 numpy;         100 ;   1.0998003184795381E-003
 matmul();        2500 ;   0.0000000000000000     
 nested loops;        2500 ;   0.0000000000000000     
 numpy;        2500 ;   1.7997995018959045E-003
 matmul();       10000 ;   3.9990022778511045E-004
 nested loops;       10000 ;   1.3998001813888550E-003
 numpy;       10000 ;   4.1993990540504459E-003
 matmul();       62500 ;   7.2989001870155338E-003
 nested loops;       62500 ;   3.5894596576690675E-002
 numpy;       62500 ;   5.6991040706634525E-003
 matmul();      250000 ;   5.0592303276062012E-002
 nested loops;      250000 ;   0.0000000000000000     
 numpy;      250000 ;   2.8295707702636719E-002
 matmul();      562500 ;   4.3693399429321288E-002
 nested loops;      562500 ;   0.0000000000000000     
 numpy;      562500 ;   2.8195703029632570E-002
 matmul();     1000000 ;   3.9794015884399417E-002
 nested loops;     1000000 ;   0.0000000000000000     
 numpy;     1000000 ;   7.7288198471069339E-002
 matmul();     1000000 ;   3.9493989944458005E-002
 numpy;     1000000 ;   6.3090395927429196E-002
 matmul-noalloc;     1000000 ;   3.6694383621215819E-002
 matmul();     2250000 ;   2.2995948791503908E-003
 nested loops;     2250000 ;   0.0000000000000000     
 numpy;     2250000 ;  0.11118307113647460     
 matmul();     4000000 ;   1.4797830581665039E-002
 nested loops;     4000000 ;   0.0000000000000000     
 numpy;     4000000 ;  0.14837751388549805     
 matmul();     6250000 ;   2.3096466064453126E-002
 numpy;     6250000 ;  0.18877134323120118     
 matmul();     9000000 ;   3.2594966888427737E-002
 numpy;     9000000 ;  0.30495357513427734     
 matmul();    12250000 ;   4.2993354797363284E-002
 numpy;    12250000 ;  0.41903629302978518     
 matmul();    16000000 ;   5.4791641235351560E-002
 numpy;    16000000 ;  0.58481101989746098     
 matmul();    20250000 ;   6.9889259338378903E-002
 numpy;    20250000 ;  0.78608074188232424     
 matmul();    25000000 ;   8.5287094116210938E-002
 numpy;    25000000 ;  0.84467124938964844     
 matmul();    30250000 ;  0.10128440856933593     
 numpy;    30250000 ;  0.91756057739257812     
 matmul();    36000000 ;  0.11808204650878906     
 numpy;    36000000 ;  0.96285324096679692     
 matmul();    42250000 ;  0.14047927856445314     
 numpy;    42250000 ;   1.1186302185058594     
 matmul();    49000000 ;  0.15817565917968751     
 numpy;    49000000 ;   1.2146148681640625     
 matmul();    56250000 ;  0.18997116088867189     
 numpy;    56250000 ;   1.2239135742187499     
