 method;n_elements;time
 matmul();         100 ;   0.0000000000000000     
 nested loops;         100 ;   0.0000000000000000     
 numpy;         100 ;   7.9989999999999781E-004
 matmul();        2500 ;   0.0000000000000000     
 nested loops;        2500 ;   2.0000000000000017E-004
 numpy;        2500 ;   1.0598300000000000E-002
 matmul();       10000 ;   5.3991999999999981E-003
 nested loops;       10000 ;   1.6597499999999998E-002
 numpy;       10000 ;   4.0993999999999978E-003
 matmul();       62500 ;   5.7291200000000000E-002
 nested loops;       62500 ;  0.37704270000000001     
 numpy;       62500 ;   1.4197900000000008E-002
 matmul();      250000 ;  0.40383860000000010     
 nested loops;      250000 ;  0.15067709999999987     
 numpy;      250000 ;   5.2491999999999983E-002
 matmul();      562500 ;  0.46322949999999991     
 nested loops;      562500 ;  0.45913020000000027     
 numpy;      562500 ;  0.11668230000000009     
 matmul();     1000000 ;  0.49442490000000028     
 nested loops;     1000000 ;   1.4808748999999999     
 numpy;     1000000 ;  0.25266150000000065     
 matmul();     1000000 ;  0.49672449999999985     
 numpy;     1000000 ;  0.24376299999999987     
 matmul() - no allocate;     1000000 ;  0.45643059999999946     
 matmul();     4000000 ;   1.1314280000000003     
 numpy;     4000000 ;   2.3445436000000002     
 matmul();     9000000 ;   3.7266333999999985     
 numpy;     9000000 ;   5.6852357000000016     
 matmul();    16000000 ;   7.8395082999999968     
 numpy;    16000000 ;   10.822054800000000     
 matmul();    25000000 ;   15.336368399999998     
 numpy;    25000000 ;   14.120553299999994     
