 method;n_elements;time
 matmul();         100 ;   9.3698501586914062E-005
 nested loops;         100 ;   1.2159347534179687E-006
 numpy;         100 ;   2.4549007415771485E-003
 matmul();        2500 ;   1.5940666198730469E-004
 nested loops;        2500 ;   2.4218559265136718E-004
 numpy;        2500 ;   9.9518299102783212E-004
 matmul();       10000 ;   3.7879943847656249E-004
 nested loops;       10000 ;   1.0514974594116211E-003
 numpy;       10000 ;   2.0370483398437499E-004
 matmul();       62500 ;   2.7467012405395508E-003
 nested loops;       62500 ;   1.6993498802185057E-002
 numpy;       62500 ;   6.6368579864501949E-004
 matmul();      250000 ;   1.8667507171630859E-002
 nested loops;      250000 ;  0.11603419780731201     
 numpy;      250000 ;   1.7992973327636719E-003
 matmul();      562500 ;   5.8681297302246097E-002
 nested loops;      562500 ;  0.41492869853973391     
 numpy;      562500 ;   3.6873102188110353E-003
 matmul();     1000000 ;  0.13568680286407470     
 nested loops;     1000000 ;  0.96109819412231445     
 numpy;     1000000 ;   6.8410158157348631E-003
 matmul();     1000000 ;  0.13054139614105226     
 numpy;     1000000 ;   6.5935134887695314E-003
 matmul-noalloc;     1000000 ;  0.13253278732299806     
 matmul();     2250000 ;  0.42431321144104006     
 nested loops;     2250000 ;   4.5683665037155148     
 numpy;     2250000 ;   1.8648099899291993E-002
 matmul();     4000000 ;   1.0277835130691528     
 nested loops;     4000000 ;   21.645369195938109     
 numpy;     4000000 ;   4.2576694488525392E-002
 matmul();     6250000 ;   2.0115301132202150     
 numpy;     6250000 ;   7.2428607940673823E-002
 matmul();     9000000 ;   3.4632418155670166     
 numpy;     9000000 ;  0.12645430564880372     
 matmul();    12250000 ;   5.5017889976501468     
 numpy;    12250000 ;  0.19933888912200928     
 matmul();    16000000 ;   8.1735923051834103     
 numpy;    16000000 ;  0.27418138980865481     
 matmul();    20250000 ;   11.663042092323304     
 numpy;    20250000 ;  0.39924750328063963     
 matmul();    25000000 ;   15.935735297203063     
 numpy;    25000000 ;  0.52737231254577632     
 matmul();    30250000 ;   21.267586779594421     
 numpy;    30250000 ;  0.66567008495330815     
 matmul();    36000000 ;   27.505384492874146     
 numpy;    36000000 ;  0.84178738594055180     
 matmul();    42250000 ;   35.068627786636355     
 numpy;    42250000 ;   1.0215151071548463     
 matmul();    49000000 ;   43.646282100677489     
 numpy;    49000000 ;   1.2736485004425049     
 matmul();    56250000 ;   52.551680397987369     
 numpy;    56250000 ;   1.4876535892486573     
