 method;n_elements;time
 matmul();         100 ;   3.4093856811523439E-006
 nested loops;         100 ;   1.5974044799804688E-006
 numpy;         100 ;   4.2101144790649414E-003
 matmul();        2500 ;   1.3792991638183593E-003
 nested loops;        2500 ;   1.2059211730957032E-004
 numpy;        2500 ;   4.6952009201049801E-003
 matmul();       10000 ;   2.9017925262451170E-004
 nested loops;       10000 ;   1.3535976409912109E-003
 numpy;       10000 ;   6.6969394683837893E-004
 matmul();       62500 ;   2.8899908065795898E-003
 nested loops;       62500 ;   1.5848708152770997E-002
 numpy;       62500 ;   5.5539608001708984E-004
 matmul();      250000 ;   1.8245911598205565E-002
 nested loops;      250000 ;  0.12417500019073487     
 numpy;      250000 ;   2.0631074905395506E-003
 matmul();      562500 ;   5.2388000488281253E-002
 nested loops;      562500 ;  0.40361380577087402     
 numpy;      562500 ;   4.8274993896484375E-003
 matmul();     1000000 ;  0.11785860061645508     
 nested loops;     1000000 ;   1.4165386915206910     
 numpy;     1000000 ;   1.0267901420593261E-002
 matmul();     1000000 ;  0.11632890701293945     
 numpy;     1000000 ;   9.8021984100341800E-003
 matmul() - no allocate;     1000000 ;  0.11639389991760254     
 matmul();     4000000 ;  0.93600530624389644     
 numpy;     4000000 ;   8.8018202781677241E-002
 matmul();     9000000 ;   3.2043635129928587     
 numpy;     9000000 ;  0.21579430103302003     
 matmul();    16000000 ;   7.4840415000915526     
 numpy;    16000000 ;  0.42991878986358645     
 matmul();    25000000 ;   14.763554191589355     
 numpy;    25000000 ;  0.71122419834136963     
