 method;n_elements;time
 matmul();         100 ;   0.0000000000000000     
 nested loops;         100 ;   0.0000000000000000     
 numpy;         100 ;   6.9990158081054685E-004
 matmul();        2500 ;   0.0000000000000000     
 nested loops;        2500 ;   2.9999911785125730E-004
 numpy;        2500 ;   7.4988007545471191E-003
 matmul();       10000 ;   1.3697901368141174E-002
 nested loops;       10000 ;   5.3791898488998416E-002
 numpy;       10000 ;   4.0994048118591312E-003
 matmul();       62500 ;  0.11478260755538941     
 nested loops;       62500 ;  0.53421878814697266     
 numpy;       62500 ;   1.4397764205932617E-002
 matmul();      250000 ;  0.63330373764038084     
 nested loops;      250000 ;  0.11598234176635742     
 numpy;      250000 ;   4.3193531036376950E-002
 matmul();      562500 ;  0.63530349731445312     
 nested loops;      562500 ;  0.40673809051513671     
 numpy;      562500 ;  0.11708221435546876     
 matmul();     1000000 ;  0.65080089569091792     
 nested loops;     1000000 ;  0.96425323486328129     
 numpy;     1000000 ;  0.22406616210937499     
 matmul();     1000000 ;  0.67059822082519527     
 numpy;     1000000 ;  0.22016639709472657     
 matmul-noalloc;     1000000 ;  0.64170227050781248     
 matmul();     2250000 ;  0.43013458251953124     
 nested loops;     2250000 ;   4.4675209045410158     
 numpy;     2250000 ;  0.70109329223632810     
 matmul();     4000000 ;   1.1030319213867188     
 nested loops;     4000000 ;   21.737995910644532     
 numpy;     4000000 ;   1.7234375000000000     
 matmul();     6250000 ;   1.9744995117187500     
 numpy;     6250000 ;   2.4437286376953127     
 matmul();     9000000 ;   3.4347778320312501     
 numpy;     9000000 ;   4.3278411865234379     
 matmul();    12250000 ;   5.4377746582031250     
 numpy;    12250000 ;   6.8127624511718752     
 matmul();    16000000 ;   8.1240600585937504     
 numpy;    16000000 ;   9.5437499999999993     
 matmul();    20250000 ;   11.568237304687500     
 numpy;    20250000 ;   13.755004882812500     
 matmul();    25000000 ;   15.826696777343750     
 numpy;    25000000 ;   16.467089843749999     
 matmul();    30250000 ;   21.167980957031251     
 numpy;    30250000 ;   19.403649902343751     
 matmul();    36000000 ;   27.350036621093750     
 numpy;    36000000 ;   23.086694335937501     
 matmul();    42250000 ;   34.879418945312501     
 numpy;    42250000 ;   27.575390625000001     
 matmul();    49000000 ;   43.345605468750001     
 numpy;    49000000 ;   31.283349609375001     
 matmul();    56250000 ;   52.551220703124997     
 numpy;    56250000 ;   36.883300781250000     
